imdb_id,budget_from_api,budget_opus_data,buget_from_imdb_website
tt0250809,0,0,
tt0256103,0,0,
tt0245115,0,0,
tt4419500,0,0,
tt0206963,0,0,
tt0216787,0,0,
tt0212380,0,0,
tt0237994,0,0,
tt0248617,0,0,
tt0245046,0,0,
tt0246765,0,0,
tt0249371,0,0,
tt0243255,0,0,
tt0208196,0,0,
tt0022873,0,0,
tt0278102,0,0,
tt0221073,0,0,
tt0221799,0,0,
tt0203632,0,0,
tt0112651,0,0,
tt0242994,0,0,
tt0238015,0,0,
tt0275277,0,0,
tt0250202,0,0,
tt0245891,0,0,
tt0211492,0,0,
tt0204640,0,0,
tt0275560,0,0,
tt0212826,0,0,
tt0234805,0,0,
tt6073552,0,0,
tt0283431,0,0,
tt0203540,0,0,
tt0240913,0,0,
tt0240402,0,0,
tt0255321,0,0,
tt0262462,0,0,
tt0206917,0,0,
tt0256408,0,0,
tt0180679,0,0,
tt0243017,0,0,
tt0216800,0,0,
tt0259393,0,0,
tt0255653,0,0,
tt0254099,0,0,
tt0237539,0,0,
tt0255055,0,0,
tt0206926,0,0,
tt0203755,0,0,
tt0118694,0,0,
tt0205873,0,0,
tt0280105,0,0,
tt0248126,0,0,
tt0000091,0,0,
tt2369317,0,0,
tt3033948,0,0,
tt0208348,0,0,
tt0322674,0,0,
tt0303282,0,0,
tt0099615,0,0,
tt0276607,0,0,
tt0219756,0,0,
tt0298071,0,0,
tt0271885,0,0,
tt0082445,0,0,
tt0268877,0,0,
tt1763288,0,0,
tt0275170,0,0,
tt0220514,0,0,
tt0280674,0,0,
tt0273851,0,0,
tt0219338,0,0,
tt0058700,0,0,
tt0279750,0,0,
tt0290858,0,0,
tt0071487,0,0,
tt0292501,0,0,
tt1193096,0,0,
tt0207198,0,0,
tt0289074,0,0,
tt0281534,0,0,
tt0183056,0,0,
tt0296658,0,0,
tt0245317,0,0,
tt0290010,0,0,
tt0194710,0,0,
tt0236474,0,0,
tt0272730,0,0,
tt0274868,0,0,
tt0303396,0,0,
tt0209055,0,0,
tt0337585,0,0,
tt0259744,0,0,
tt0250617,0,0,
tt0235553,0,0,
tt0264013,0,0,
tt0298238,0,0,
tt0218581,0,0,
tt0245929,0,0,
tt0072913,0,0,
tt5022702,0,0,
tt0246266,0,0,
tt0244476,0,0,
tt0297721,0,0,
tt0326722,0,0,
tt0269461,0,0,
tt0194138,0,0,
tt0317521,0,0,
tt0257215,0,0,
tt0250282,0,0,
tt0191074,0,0,
tt0210065,0,0,
tt0220627,0,0,
tt0309061,0,0,
tt0188128,0,0,
tt0177746,0,0,
tt0201899,0,0,
tt0304678,0,0,
tt0332831,0,0,
tt0309600,0,0,
tt0260713,0,0,
tt0238321,0,0,
tt0207524,0,0,
tt0303356,0,0,
tt0283991,0,0,
tt0081235,0,0,
tt0226935,0,0,
tt0248190,0,0,
tt0289054,0,0,
tt0245479,0,0,
tt0287986,0,0,
tt0160905,0,0,
tt0275688,0,0,
tt0239507,0,0,
tt0210357,0,0,
tt3384118,0,0,
tt0221838,0,0,
tt0260695,0,0,
tt0262911,0,0,
tt0337632,0,0,
tt0275067,0,0,
tt0260746,0,0,
tt0292066,0,0,
tt1267319,0,0,
tt0280424,0,0,
tt0283422,0,0,
tt0239381,0,0,
tt0264355,0,0,
tt0184719,0,0,
tt1313145,0,0,
tt0234940,0,0,
tt0268696,0,0,
tt0256259,0,0,
tt0230025,0,0,
tt0268219,0,0,
tt1992236,0,0,
tt0280438,0,0,
tt0029453,0,0,
tt0303326,0,0,
tt0298798,0,0,
tt0304857,0,0,
tt0295633,0,0,
tt0269746,0,0,
tt0303321,0,0,
tt0216578,0,0,
tt0300453,0,0,
tt0216689,0,0,
tt6089564,0,0,
tt0111212,0,0,
tt2173244,0,0,
tt0229002,0,0,
tt0181912,0,0,
tt0246500,0,0,
tt0219400,0,0,
tt0272736,0,0,
tt0373704,0,0,
tt0338357,0,0,
tt0273607,0,0,
tt0263725,0,0,
tt0220580,0,0,
tt0265591,0,0,
tt0330843,0,0,
tt0239234,0,0,
tt0265713,0,0,
tt0325033,0,0,
tt0282771,0,0,
tt0254199,0,0,
tt5610554,0,0,
tt0327920,0,0,
tt0253840,0,0,
tt0248169,0,0,
tt0252480,0,0,
tt0326306,0,0,
tt0292542,0,0,
tt0318068,0,0,
tt0295238,0,0,
tt0294662,0,0,
tt0269499,0,0,
tt2093977,0,0,
tt0265307,0,0,
tt0287471,0,0,
tt0314725,0,0,
tt0299117,0,0,
tt0216799,0,0,
tt0250081,0,0,
tt0303785,0,0,
tt0301893,0,0,
tt0457270,0,0,
tt0254455,0,0,
tt0328962,0,0,
tt0259484,0,0,
tt0318034,0,0,
tt0307385,0,0,
tt0274309,0,0,
tt0246772,0,0,
tt0298856,0,0,
tt0243862,0,0,
tt0270707,0,0,
tt0221013,0,0,
tt0258153,0,0,
tt0208990,0,0,
tt0157583,0,0,
tt0292631,0,0,
tt0135640,0,0,
tt0317874,0,0,
tt0271263,0,0,
tt0353164,0,0,
tt0287635,0,0,
tt0287467,0,0,
tt0302640,0,0,
tt0323642,0,0,
tt0292907,0,0,
tt0337662,0,0,
tt0312848,0,0,
tt0311412,0,0,
tt0259054,0,0,
tt0309326,0,0,
tt0186654,0,0,
tt0264689,0,0,
tt0303392,0,0,
tt0235412,0,0,
tt0191211,0,0,
tt0323633,0,0,
tt0285280,0,0,
tt0284203,0,0,
tt0308363,0,0,
tt0271809,0,0,
tt0315850,0,0,
tt0302309,0,0,
tt0317950,0,0,
tt0368310,0,0,
tt0304267,0,0,
tt0305229,0,0,
tt0275182,0,0,
tt0318025,0,0,
tt0354696,0,0,
tt2883352,0,0,
tt0281724,0,0,
tt5651458,0,0,
tt0282718,0,0,
tt7365604,0,0,
tt0284850,0,0,
tt5776928,0,0,
tt0283283,0,0,
tt0355857,0,0,
tt0280696,0,0,
tt0350193,0,0,
tt0271337,0,0,
tt0336910,0,0,
tt2569236,0,0,
tt0296621,0,0,
tt0271395,0,0,
